huc2,id,lon,lat
00,244894,-115.84375,51.59375
00,244895,-115.84375,51.65625
00,244896,-115.84375,51.71875
00,244897,-115.78125,51.46875
00,244898,-115.78125,51.53125
00,244899,-115.78125,51.59375
00,244900,-115.78125,51.65625
00,244901,-115.78125,51.71875
00,244902,-115.78125,51.78125
00,244903,-115.71875,51.53125
00,244904,-115.71875,51.59375
00,244905,-115.71875,51.65625
00,244906,-115.71875,51.71875
00,244907,-115.71875,51.78125
00,244908,-115.65625,51.53125
00,244909,-115.65625,51.59375
00,244910,-115.65625,51.65625
00,244911,-115.65625,51.71875
00,244912,-115.65625,51.78125
00,244913,-115.59375,51.46875
00,244914,-115.59375,51.53125
00,244915,-115.59375,51.59375
00,244916,-115.59375,51.65625
00,244917,-115.59375,51.71875
00,244918,-115.59375,51.78125
00,244919,-115.53125,51.46875
00,244920,-115.53125,51.53125
00,244921,-115.53125,51.59375
00,244922,-115.53125,51.65625
00,244923,-115.53125,51.71875
00,244924,-115.53125,51.78125
00,244925,-115.53125,51.84375
00,244926,-115.46875,51.46875
00,244927,-115.46875,51.53125
00,244928,-115.46875,51.59375
00,244929,-115.46875,51.65625
00,244930,-115.46875,51.71875
00,244931,-115.46875,51.78125
00,244932,-115.46875,51.84375
00,244933,-115.40625,51.46875
00,244934,-115.40625,51.53125
00,244935,-115.40625,51.59375
00,244936,-115.40625,51.65625
00,244937,-115.40625,51.71875
00,244938,-115.40625,51.78125
00,244939,-115.40625,51.84375
00,244940,-115.34375,51.46875
00,244941,-115.34375,51.53125
00,244942,-115.34375,51.59375
00,244943,-115.34375,51.65625
00,244944,-115.34375,51.71875
00,244945,-115.34375,51.78125
00,244946,-115.34375,51.84375
00,244947,-115.28125,51.46875
00,244948,-115.28125,51.53125
00,244949,-115.28125,51.59375
00,244950,-115.28125,51.65625
00,244951,-115.28125,51.71875
00,244952,-115.28125,51.78125
00,244953,-115.28125,51.84375
00,244954,-115.21875,51.46875
00,244955,-115.21875,51.53125
00,244956,-115.21875,51.59375
00,244957,-115.21875,51.65625
00,244958,-115.21875,51.71875
00,244959,-115.21875,51.78125
00,244960,-115.21875,51.84375
00,244961,-115.21875,51.90625
00,244962,-115.15625,51.46875
00,244963,-115.15625,51.53125
00,244964,-115.15625,51.59375
00,244965,-115.15625,51.65625
00,244966,-115.15625,51.71875
00,244967,-115.15625,51.78125
00,244968,-115.15625,51.84375
00,244969,-115.15625,51.90625
00,244970,-115.09375,51.46875
00,244971,-115.09375,51.53125
00,244972,-115.09375,51.59375
00,244973,-115.09375,51.65625
00,244974,-115.09375,51.71875
00,244975,-115.09375,51.78125
00,244976,-115.09375,51.84375
00,244977,-115.09375,51.90625
00,244978,-115.03125,51.53125
00,244979,-115.03125,51.59375
00,244980,-115.03125,51.65625
00,244981,-115.03125,51.71875
00,244982,-115.03125,51.78125
00,244983,-115.03125,51.84375
00,244984,-115.03125,51.90625
00,244985,-114.96875,51.59375
00,244986,-114.96875,51.65625
00,244987,-114.96875,51.71875
00,244988,-114.96875,51.78125
00,244989,-114.96875,51.84375
00,244990,-114.96875,51.90625
00,244991,-114.96875,51.96875
00,244992,-114.90625,51.59375
00,244993,-114.90625,51.65625
00,244994,-114.90625,51.71875
00,244995,-114.90625,51.78125
00,244996,-114.90625,51.84375
00,244997,-114.90625,51.90625
00,244998,-114.90625,51.96875
00,244999,-114.84375,51.59375
00,245000,-114.84375,51.65625
00,245001,-114.84375,51.71875
00,245002,-114.84375,51.78125
00,245003,-114.84375,51.84375
00,245004,-114.84375,51.90625
00,245005,-114.84375,51.96875
00,245006,-114.78125,51.59375
00,245007,-114.78125,51.65625
00,245008,-114.78125,51.71875
00,245009,-114.78125,51.78125
00,245010,-114.78125,51.84375
00,245011,-114.78125,51.90625
00,245012,-114.78125,51.96875
00,245013,-114.71875,51.65625
00,245014,-114.71875,51.71875
00,245015,-114.71875,51.78125
00,245016,-114.71875,51.84375
00,245017,-114.71875,51.90625
00,245018,-114.65625,51.59375
00,245019,-114.65625,51.65625
00,245020,-114.65625,51.71875
00,245021,-114.65625,51.78125
00,245022,-114.65625,51.84375
00,245023,-114.65625,51.90625
00,245024,-114.59375,51.65625
00,245025,-114.59375,51.84375
00,245026,-114.59375,51.90625
00,245027,-115.15625,51.96875
00,245028,-115.09375,51.96875
00,245029,-115.03125,51.46875
00,245030,-115.03125,51.96875
00,245031,-114.96875,51.40625
00,245032,-114.96875,51.46875
00,245033,-114.96875,51.53125
00,245034,-114.96875,52.03125
00,245035,-114.90625,51.40625
00,245036,-114.90625,51.46875
00,245037,-114.90625,51.53125
00,245038,-114.90625,52.03125
00,245039,-114.84375,51.34375
00,245040,-114.84375,51.40625
00,245041,-114.84375,51.46875
00,245042,-114.84375,51.53125
00,245043,-114.84375,52.03125
00,245044,-114.78125,51.34375
00,245045,-114.78125,51.40625
00,245046,-114.78125,51.46875
00,245047,-114.78125,51.53125
00,245048,-114.78125,52.03125
00,245049,-114.78125,52.09375
00,245050,-114.71875,51.40625
00,245051,-114.71875,51.46875
00,245052,-114.71875,51.53125
00,245053,-114.71875,51.59375
00,245054,-114.71875,51.96875
00,245055,-114.71875,52.03125
00,245056,-114.71875,52.09375
00,245057,-114.71875,52.15625
00,245058,-114.65625,51.40625
00,245059,-114.65625,51.46875
00,245060,-114.65625,51.53125
00,245061,-114.65625,51.96875
00,245062,-114.65625,52.03125
00,245063,-114.65625,52.09375
00,245064,-114.65625,52.15625
00,245065,-114.59375,51.40625
00,245066,-114.59375,51.46875
00,245067,-114.59375,51.53125
00,245068,-114.59375,51.59375
00,245069,-114.59375,51.71875
00,245070,-114.59375,51.78125
00,245071,-114.59375,51.96875
00,245072,-114.59375,52.03125
00,245073,-114.59375,52.09375
00,245074,-114.59375,52.15625
00,245075,-114.53125,51.40625
00,245076,-114.53125,51.46875
00,245077,-114.53125,51.53125
00,245078,-114.53125,51.59375
00,245079,-114.53125,51.65625
00,245080,-114.53125,51.71875
00,245081,-114.53125,51.78125
00,245082,-114.53125,51.84375
00,245083,-114.53125,51.90625
00,245084,-114.53125,51.96875
00,245085,-114.53125,52.03125
00,245086,-114.53125,52.09375
00,245087,-114.53125,52.15625
00,245088,-114.46875,51.34375
00,245089,-114.46875,51.40625
00,245090,-114.46875,51.46875
00,245091,-114.46875,51.53125
00,245092,-114.46875,51.59375
00,245093,-114.46875,51.65625
00,245094,-114.46875,51.71875
00,245095,-114.46875,51.78125
00,245096,-114.46875,51.84375
00,245097,-114.46875,51.90625
00,245098,-114.46875,51.96875
00,245099,-114.46875,52.03125
00,245100,-114.46875,52.09375
00,245101,-114.46875,52.15625
00,245102,-114.40625,51.40625
00,245103,-114.40625,51.46875
00,245104,-114.40625,51.53125
00,245105,-114.40625,51.59375
00,245106,-114.40625,51.65625
00,245107,-114.40625,51.71875
00,245108,-114.40625,51.78125
00,245109,-114.40625,51.84375
00,245110,-114.40625,51.90625
00,245111,-114.40625,51.96875
00,245112,-114.40625,52.03125
00,245113,-114.40625,52.09375
00,245114,-114.34375,51.40625
00,245115,-114.34375,51.46875
00,245116,-114.34375,51.53125
00,245117,-114.34375,51.59375
00,245118,-114.34375,51.65625
00,245119,-114.34375,51.71875
00,245120,-114.34375,51.78125
00,245121,-114.34375,51.84375
00,245122,-114.34375,51.90625
00,245123,-114.34375,51.96875
00,245124,-114.34375,52.03125
00,245125,-114.28125,51.40625
00,245126,-114.28125,51.46875
00,245127,-114.28125,51.53125
00,245128,-114.28125,51.59375
00,245129,-114.28125,51.65625
00,245130,-114.28125,51.78125
00,245131,-114.28125,51.84375
00,245132,-114.28125,51.90625
00,245133,-114.28125,51.96875
00,245134,-114.28125,52.03125
00,245135,-114.21875,51.46875
00,245136,-114.21875,51.53125
00,245137,-114.21875,51.59375
00,245138,-114.21875,51.78125
00,245139,-114.21875,51.84375
00,245140,-114.21875,51.90625
00,245141,-114.21875,51.96875
00,245142,-114.21875,52.03125
00,245143,-114.15625,51.78125
00,245144,-114.15625,51.84375
00,245145,-114.15625,51.90625
00,245146,-114.15625,51.96875
00,245147,-114.15625,52.03125
00,245148,-114.09375,51.84375
00,245149,-114.09375,51.90625
00,245150,-114.03125,51.90625
00,245151,-117.28125,52.09375
00,245152,-117.28125,52.15625
00,245153,-117.21875,52.03125
00,245154,-117.21875,52.09375
00,245155,-117.21875,52.15625
00,245156,-117.15625,52.03125
00,245157,-117.15625,52.09375
00,245158,-117.15625,52.15625
00,245159,-117.09375,51.96875
00,245160,-117.09375,52.03125
00,245161,-117.09375,52.09375
00,245162,-117.09375,52.15625
00,245163,-117.09375,52.21875
00,245164,-117.03125,51.90625
00,245165,-117.03125,51.96875
00,245166,-117.03125,52.03125
00,245167,-117.03125,52.09375
00,245168,-117.03125,52.15625
00,245169,-116.96875,51.84375
00,245170,-116.96875,51.90625
00,245171,-116.96875,51.96875
00,245172,-116.96875,52.03125
00,245173,-116.96875,52.09375
00,245174,-116.96875,52.15625
00,245175,-116.96875,52.21875
00,245176,-116.96875,52.28125
00,245177,-116.90625,51.71875
00,245178,-116.90625,51.78125
00,245179,-116.90625,51.84375
00,245180,-116.90625,51.90625
00,245181,-116.90625,51.96875
00,245182,-116.90625,52.03125
00,245183,-116.90625,52.09375
00,245184,-116.90625,52.15625
00,245185,-116.90625,52.21875
00,245186,-116.90625,52.28125
00,245187,-116.84375,51.71875
00,245188,-116.84375,51.78125
00,245189,-116.84375,51.84375
00,245190,-116.84375,51.90625
00,245191,-116.84375,51.96875
00,245192,-116.84375,52.03125
00,245193,-116.84375,52.09375
00,245194,-116.84375,52.15625
00,245195,-116.84375,52.21875
00,245196,-116.84375,52.28125
00,245197,-116.78125,51.78125
00,245198,-116.78125,51.84375
00,245199,-116.78125,51.90625
00,245200,-116.78125,51.96875
00,245201,-116.78125,52.03125
